YORF	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YML090W	-0.06	-0.1	-0.34	-0.18	0.29	0.67	1.65
YDR495C	-0.07	-0.03	0.01	-0.17	0.15	0.29	0.58
YMR186W	0.11	0.04	-0.25	-0.12	0.19	0.62	1.09
YLR259C	0.29	0.19	-0.34	0.16	0.24	1.12	1.65
YPR191W	0.04	0.16	-0.06	0.04	0.14	0.6	0.84
YPR184W	-0.23	-0.09	-0.27	0.2	0.56	1.52	2.64
YAL017W	-0.1	-0.04	-0.15	0.32	0.43	0.71	1.48
YPR026W	-0.06	-0.04	0.11	0.2	0.2	0.6	1.56
YNL142W	-0.2	-0.1	0.07	-0.04	0.25	0.36	0.67
YOR275C	-0.23	-0.1	0.15	0.03	0.14	0.34	0.71
YJL102W	-0.4	-0.38	-0.04	0.14	0.24	0.76	1.32
YLR312C	-0.62	-0.67	0	0.19	-0.27	1.25	2.32
YOR100C	-0.81	-0.45	0.2	-0.04	-0.18	1.09	2.12
YFL030W	-0.81	-0.47	0.19	-0.27	0.03	1.06	2.25
YOL118C	-0.18	-0.38	0.14	0.08	-0.23	0.5	0.81
YIL101C	-0.42	-0.51	0.08	0.26	-0.38	1.56	1.84
YJL031C	-0.25	-0.09	0.32	-0.06	-0.06	1.22	
YML054C	-0.58	-0.1	0.43	-0.1	-0.04	2.32	2.94
YBR298C	-0.34	-0.03	0.25	-0.3	-0.01	1.48	2.12
YHL032C	-0.15	-0.1	0.24	-0.2	-0.15	1.03	1.56
YDR125C	-0.27	0.01	0.01	-0.14	-0.12	1.03	1.43
YBR116C	-0.17	0.19	0.04	-0.23	-0.42	1.79	2.4
YKL187C	0.04	0.07	0.2	-0.17	-0.4	2.12	3.32
YLR267W	-0.12	0.12	0.26	-0.1	-0.49	1.65	2.74
YGL153W	-0.14	-0.07	0.21	-0.03	-0.34	1.09	1.56
YJL137C	-0.04	0.08	0.26	0.06	-0.49	1.06	1.84
YGR022C	-0.17	-0.06	0.14	0.04	-0.15	0.54	0.86
YJL185C	-0.17	-0.07	0.16	0.15	-0.18	0.71	1.43
YDR096W	-0.25	-0.07	-0.04	0.14	-0.18	0.94	1.56
YLR311C	-0.3	-0.27	-0.09	0.06	-0.17	1.03	1.94
YEL012W	-0.09	-0.3	0.07	0.07	-0.36	1.32	2.32
YPL262W	0.01	-0.06	-0.04	-0.17	-0.1	1.03	1.89
YOL084W	-0.3	0.12		0	-0.07	1.32	2.64
YNL006W	-0.03	-0.01	-0.09	0.12	-0.04	0.52	0.97
YNL009W	-0.06	-0.58	0.01	-0.14	-0.17	1.32	2.19
YNR002C	-0.17	-0.27	0.06	-0.07	-0.23	0.78	1.18
YJL045W	-0.34	-0.18	0.41	-0.09	-0.49	1	2.32
YJR095W	-0.62	-0.47	1.09	-0.12	-0.18	1.36	3.64
YLR174W	-0.1	-0.29	0.71	0.12	-0.14	1.29	3.32
YHR096C	-0.12	-0.04	0.67	0.32	-0.32	1.43	3.06
YGR110W	0.16	0.07	0.5	-0.06	-0.38	1.09	2.12
YLR173W	0.08	0.07	0.5	-0.03	-0.23	0.78	1.43
YPL134C	0.01	-0.03	0.32	0.08	-0.18	0.86	1.18
YOL117W	-0.23	-0.07	0.38	0.29	-0.03	1.15	1.29
YHL024W	-0.23	-0.03	0.41	0.12	0.11	1.06	1.43
YGL259W	-0.14	-0.07	0.48	0.64	0.38	1.69	2.84
YBL045C	0.07	0	0.69	0.52	0.15	1.69	2.48
YKR076W	-0.04	0.04	0.38	0.24	0.01	1.65	2.25
YJL163C	0.06	0.01	0.12	0.24	0.07	1.06	1.74
YNL125C	0.06	-0.1	0.19	0	0.12	0.6	0.92
YBR039W	0.12	-0.14	0.45	0.03	0.26	1.12	1.74
YOR245C	0.11	0.16	0.26	-0.17	-0.2	0.97	1.12
YBR117C	0.36	0.64	0.69	0.04	-0.27	1.65	2.48
YDL199C	-0.04	0.5	0.41	0.19	-0.34	1.74	2.32
YDL085W	-0.1	1	0.06	-0.12	-0.27	2.06	2.84
YDL223C	-0.1	0.58	0.2	-0.14	-0.74	1.32	2.19
YBR051W	-0.15	0.2	0	-0.4	-0.94	0.32	2.64
YDL174C	0.01	0.2	0.03	-0.07	-0.15	0.15	0.76
YLL020C	-0.04	0.11	-0.1	-0.3	-0.1	0.43	1.06
YDR505C	0.2	-0.01	0	-0.27	-0.22	0.32	1.32
YCR061W	-0.17		0.41	-0.04	-0.23	0.26	1.48
YNL117W	-0.3	-0.04	0.71	-0.3	-0.27	0.76	3.18
YLR377C	-0.23	-0.03	0.25	-0.17	-0.12	0.48	3.84
YKR097W	-0.12	-0.18	0.43	-0.09	-0.25	0.41	3.84
YER065C	0.12	0.16	0.54	0.08	-0.15	0.54	3.64
YDL215C	-0.12	-0.03	-0.14	-0.35	-0.14	0.19	2.26
YNL195C	-0.32	-0.23	-0.1	-0.15	0.03	0.76	2.32
YJL089W	-0.62	-0.34	-0.23	-0.18	-0.25	1.12	3.06
YAL054C	-0.67	-0.18	0	-0.18	-0.3	1.48	3.64
YER024W	-0.27	-0.15	0.16	-0.36	-0.49	1.12	3.18
YGR067C	0.04	-0.1	0.16	-0.34	-0.38	0.6	2.4
YCR010C	-0.49	-0.36	0.24	-0.36	-0.42	0.54	2.64
YPL054W	-0.47	-0.47	0	-0.32	-0.34	0.6	1.84
YLR142W	-0.18	-0.47	-0.51	-0.27	-0.2	0.52	2.4
YJL016W	0.11	-0.03	0.32	0.04	-0.27	0.41	0.84
YER096W	-0.09	0.15	0.54	0.16	-0.58	0.52	1.79
YDR149C	-0.17	0.21	0.25	-0.01	-0.47	0.3	1.03
YLL017W	-0.06	-0.1	0.19	-0.04	-0.34	0.14	0.74
YDL247W	-0.14	-0.01	0.38	-0.07	-0.58	0.19	0.92
YOR191W	-0.12	-0.04	0.12	-0.12	-0.29	0.07	0.41
YIL057C	-0.45	-0.34	0.34	-0.29	-0.67	0.4	1.48
YBR085W	-0.36	-0.18	0.6	0.04	-0.54	0.38	0.89
YGL251C	-0.17	-0.1	0.29	0.01	-0.23	0.32	0.71
YPL109C	-0.23	0	0.43	-0.07	-0.76	0.81	1.4
YHR171W	-0.4	-0.06	0.48	0.11	-0.69	0.84	1.06
YDL194W	-0.23	0.24	0.19	-0.23	-0.47	0.43	0.92
YNL331C	-0.1	0.21	0.19	-0.32	-0.45	0.64	1.09
YER116C	-0.01	0.12	0.25	-0.18	-0.27	0.45	0.67
YGR224W	-0.14	0.12	0.4	-0.3	-0.15	0.5	0.94
YDR169C	-0.07	0.07	0.24	-0.27	-0.18	0.43	0.78
YKL107W	-0.36	-0.07	0.38	-0.42	-0.23	0.69	1.32
YOR081C	-0.03	0.07	0.34	-0.27	-0.25	0.2	0.81
YLR431C	0	-0.07	0.29	-0.38	-0.22	0.34	0.62
YJL015C	-0.32	-0.51	0.25	0.2	-0.36	0.5	0.64
YMR104C	-0.64	-0.56	0.29	0.16	-0.36	0.81	0.76
YGL250W	-0.34	-0.6	0.12	0.11	-0.38	0.78	0.67
YHR004C	-0.14	-0.38	0.29	0.03	-0.27	0.64	0.58
YDR369C	-0.09	-0.18	0.06	0.04	-0.27	0.4	0.45
YOR177C	-0.38	-0.4	0.26	0.16	-0.6	0.84	1.03
YGL158W	-0.51	-0.51	0.32	-0.12	-0.84	0.94	1.06
YJR008W	-0.74	-0.4	0.32	-0.1	-0.92	1.56	1.32
YDR254W	-0.69	-0.3	0.24	0.03	-0.25	0.76	0.5
YOR032C	-0.69	-0.69	0.67	-0.03	-0.36	1.06	0.84
YIR030C	-0.36	-0.25	0.32	-0.12	-0.27	0.62	0.45
YOL116W	-0.34	-0.4	0.43	-0.1	-0.43	0.84	0.71
YJL048C	-0.51	-0.47		0.03	-0.49	1.18	0.94
YOL096C	-0.32	-0.4	0.4	0.03	-0.3	0.81	0.48
YDL234C	-0.67	-0.51	0.48	0.08	-0.23	1.22	0.84
YDL238C		-0.36	0.34	-0.06	-0.3	0.97	0.67
YOL047C	-0.54	-0.3	0.24	-0.09	-0.23	0.92	0.6
YDR030C	-0.6	-0.58	0.26	-0.14	-0.32	1.25	0.76
YPL114W	-0.38	-0.34	0.14	-0.1	-0.1	0.69	0.4
YDR014W	-0.42	-0.18	0.3	-0.25	-0.1	0.81	0.43
YIR024C	-0.51	-0.25	0.32	-0.17	0.01	0.67	0.38
YER059W	-0.42	-0.29	0.34	-0.09	-0.01	0.69	0.34
YHL022C	-0.45	-0.18	0.19	-0.04	-0.06	0.78	0.36
YML118W	-0.58	-0.18	0.24	-0.01	-0.09	0.78	0.56
YEL069C	-0.54	-0.2	0.38	-0.18	-0.06	0.84	0.86
YEL041W	-0.56	-0.1	0.36	-0.12	-0.17	0.78	0.74
YDR179C	-0.43	-0.17	0.29	-0.12	-0.12	0.58	0.52
YHR159W	-0.51	-0.09	0.4	-0.04	-0.18	0.86	0.64
YGR052W	-0.62	-0.2	0.69	0.01	-0.17	1.48	1.29
YBR006W	-1.09	-0.27	0.38	0.26	0.08	1.29	1.29
YDR323C	-0.56	-0.18	0.25	0.08	0.03	0.64	0.64
YNL019C	-0.3	-0.27	0.2	0.04	0.01	0.43	0.43
YBR132C	-1.09	-0.58	0.45	-0.06	-0.32	1.25	1.65
YPL097W	-0.36	-0.12	0.41	0.04	0.08	0.81	0.58
YGR237C	-0.45	-0.3	0.38	0.12	0.03	0.89	0.6
YOR044W	-0.32	-0.25	0.29	0.07	0.14	0.67	0.45
YFR016C	-0.4	-0.2	0.25	0.08	0.21	0.89	0.48
YIR016W	-0.49	-0.18	0.38	-0.03	0.14	1.12	0.54
YJR130C	-0.56	-0.45	0.3	0.15	0.24	1.06	0.54
YFR014C	-0.64	-0.43	0.19		0.15	1.15	0.6
YCR030C	-0.25	-0.27	0.14	0.19	0.08	0.62	0.38
YER098W	-0.15	-0.2	0.4	0.14	-0.23	1.12	1.15
YGR201C	-0.15	-0.34	0.84	0.16	-0.1	1.89	1.65
YGR258C	-0.01	-0.07	0.26	0.08	-0.14	0.92	0.69
YJR062C	-0.1	0	0.08	0.14	-0.07	0.52	0.4
YDR219C	-0.22	0.04	0.3	0.21	-0.47	1.18	0.92
YJR080C	-0.15	0.01	0.36	0.19	-0.45	1.32	1.09
YDR255C	-0.17	-0.12	0.2	0.24	-0.38	1.06	1.12
YGL059W	-0.51	-0.36	0.56	0.21	-0.42	1.29	1.06
YOR386W	-0.58	-0.27	0.41	0.14	-0.54	1.65	1.15
YFR007W	-0.22	-0.03	0.16	0	-0.2	0.48	0.3
YDR275W	-0.51	-0.07	0.29	-0.18	-0.36	1.23	0.83
YJL153C	-0.58	-0.12	0.32	-0.18	-0.47	1.12	1.03
YOR389W	-0.18	0.06	0.26	-0.15	-0.45	1	0.89
YER142C	-0.34	-0.09	0.32	-0.01	-0.54	1.15	1
YHL020C	-0.23	0.01	0.26	-0.06	-0.27	0.64	0.5
YJR019C	-0.42	-0.07	0.38	-0.09		1.18	0.89
YJL112W	-0.3	-0.04	0.45	-0.01	-0.27	1.06	0.89
YPR027C	-0.09	0	0.26	-0.01	-0.15	0.54	0.52
YKL133C	-0.18	0.07	0.52	-0.1	-0.45	1.32	0.97
YBR285W	-0.4	0.38	0.16	-0.2	-0.51	1.52	0.92
YOR097C	-0.23	0.19	0.19	0.03	-0.29	1.52	0.94
YKR098C	-0.1	0.19	0.14	-0.04	-0.27	1.29	0.56
YOR042W	-0.34	0.14	0.29	-0.1	0.01	1.06	0.6
YBR241C	-0.97	0.06	0.41	0.19	-0.18	2.48	1.56
YJL141C	-0.4	0.11	0.07	-0.2	-0.09	1.65	1.03
YDR148C	-0.62	-0.01	0.36	-0.18	-0.2	1.84	1.4
YKL146W	-0.4	-0.1	0.21	-0.22	-0.07	1.12	0.76
YEL005C	-0.29	0.07	0.36	-0.09	-0.3	0.81	0.36
YML050W	-0.17	-0.03	0.38	-0.1	-0.34	0.78	0.34
YJR158W	-0.18	-0.07	0.3	-0.12	-0.36	0.97	0.5
YDR530C	-0.1	0.04	0.19	-0.04	-0.34	0.74	0.38
YIL093C	-0.27	-0.17	0.24	0.08	-0.3	0.71	0.25
YKL134C	-0.27	-0.29		0.14	-0.43	1	0.43
YMR023C	-0.18	-0.27	0.26	0.08	-0.4	0.81	0.41
YKR101W	-0.27	-0.42	0.16	0.08	-0.34	1.03	0.4
YLR151C	-0.12	-0.18	0.14	0	-0.27	0.97	0.45
YOR005C	-0.17	-0.3	0.14	-0.07	-0.42	1.06	0.56
YDR532C	-0.07	-0.1	0.15	-0.04	-0.15	0.4	0.25
YMR156C	-0.12	-0.1	0.08	-0.09	-0.27	0.5	0.32
YDR458C	-0.07	-0.06	0.21	-0.2	-0.2	1.25	0.6
YKL023W	-0.12	-0.07	0.29	-0.09	-0.22	1.18	0.41
YBR290W	-0.03	-0.1	0.29	0.11	-0.18	1.29	0.5
YGL108C	-0.1		0.19	0.06	-0.12	0.84	0.36
YML131W	-0.25	-0.18	0.38	0	-0.23	1.74	0.92
YDR494W	-0.18	-0.23	0.34	0	-0.1	1.12	0.54
YBR262C	-0.07	-0.27	0.14	0.06	-0.17	1.15	0.6
YJL144W	-0.4	-0.43	0.24	0.15	-0.1	2.12	1.12
YLR171W	-0.1	-0.17	0.06	0.01	0.01	0.94	0.5
YDR203W	-0.25	-0.25	0.21	-0.09	-0.15	0.97	0.54
YER014W	-0.23	-0.27	0.32	-0.01	-0.14	0.86	0.54
YOR054C	-0.06	-0.23	0.16	-0.07	-0.1	0.69	0.21
YMR210W	0.07	-0.32	0.48	0.21	-0.06	1.43	0.71
YKL155C	0.08	0.04	0.48	0.06	-0.17	0.86	0.45
YMR097C	-0.01	0.12	0.58	0.15	-0.17	0.92	0.6
YDR287W	0	0.14	0.52	0.19	-0.42	1.29	0.81
YBR122C	-0.03	0.19	0.45	0.14	-0.18	1.22	0.71
YGR231C	-0.01	0.03	0.58	0.03	-0.23	1.36	0.69
YLR298C	-0.1	0	0.41	0.07	-0.15	1.09	0.48
YDR168W	-0.09	0.04	0.36	0.16	-0.1	0.81	0.3
YFR047C	-0.14	-0.1	0.78	0.15	0.01	1.25	0.52
YDR175C	-0.1	-0.03	0.43	0.06	0.06	0.97	0.52
YGL119W	-0.12	0.03	0.4	-0.03	0.07	0.74	0.38
YLR035C	-0.09	0.16	0.4	0.06	0.04	0.81	0.43
YHR194W	-0.32	-0.12	0.43	-0.03	-0.1	0.76	0.38
YLR417W	-0.34	0	0.41	-0.03	-0.12	0.78	0.3
YER020W	-0.67	-0.01	0.62	0.03	-0.36	1.36	0.64
YJR110W	-0.43		0.36	0.11	-0.22	0.94	0.45
YKL168C	-0.34	0.04	0.25	0.14		0.69	0.34
YMR098C	-0.62		0.54	0.24	-0.3	0.94	0.74
YIR014W	-0.25	-0.1	0.26	0.04	-0.15	0.38	0.24
YCR036W	-0.38	-0.01	0.6	0.16	-0.43	0.86	0.43
YNL334C	-0.04	0.04	0.21	-0.25	-0.04	0.54	0.43
YPL173W	-0.15	0.07	0.41	-0.36	0.07	0.92	0.71
YBR272C	-0.1	-0.01	0.41	-0.2	0	0.69	0.56
YFR049W	-0.18	0.01	0.38	-0.18	-0.04	0.67	0.74
YJL036W	-0.27	0.04	0.38	-0.2	-0.15	1.03	0.86
YBL058W	-0.25	0.11	0.38	-0.22	-0.07	0.97	0.76
YDR423C	-0.12	0.07	0.3	-0.07	0.01	0.94	0.74
YHR202W	-0.15	0.03	0.26	0	0.16	0.64	0.5
YMR136W	-0.36	0.15	0.64	0.16	0.2	1.22	1.22
YDR085C	-0.43	-0.06	0.56	-0.06	0.16	1.32	1.32
YCR061W	-0.58	0.14	0.56	0.04	0.06	1.32	1.03
YOR037W	-0.43	0.08	0.43	-0.22	0.15	0.86	0.81
YOR019W	-0.34	0.11	0.71	-0.3	0.08	1.69	2.19
YGR196C	-0.04	0.15	0.36	-0.07	0.08	0.6	0.84
YMR115W	-0.25	-0.15	0.56	0.12	0.2	0.81	0.81
YBR037C	-0.06	-0.1	0.52	0.03	0.2	0.69	0.56
YDR079W	-0.09	-0.18	0.5	-0.03	0.2	0.84	0.6
YPL031C	-0.09	-0.2	0.56	-0.1	0.3	0.76	0.74
YHR140W	-0.49	-0.12	0.56	-0.04	0.14	0.58	0.62
YDR181C	-0.36	-0.1	0.43	-0.12	0.12	0.4	0.54
YNL196C	-0.4	-0.07	0.41	-0.42	0.11	0.56	0.89
YOR181W	-0.47	-0.23	0.56	-0.36	-0.12	0.76	0.94
YNL332W	-0.49	-0.22	0.58	-0.34	-0.14	0.67	0.92
YBR103W	-0.34	-0.14	0.45	-0.14	-0.06	0.38	0.74
YDR317W	-0.27	-0.01	0.32	-0.1	-0.06	0.32	0.74
YHL044W	-0.27	0.03	0.36	-0.06	-0.04	0.5	0.67
YOR003W	-0.06	-0.01	0.32	-0.3	-0.34	0.62	0.67
YLR055C	-0.15	-0.01	0.29	-0.15	-0.34	0.52	0.52
