YORF	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YIL072W	-0.27	-0.3	-0.22	-0.3	-0.4	0.01	-0.06
YPL062W	-0.42	-0.42	-0.22	-0.42	-0.56	0.16	-0.06
YIR013C	-0.43	-0.62	-0.42	-0.36	-0.62	0.2	-0.4
YNL017C	-0.47	-0.76	-0.42	-0.34	-0.56	0.16	-0.36
YKR005C	-0.29	-0.62	-0.42	-0.27	-0.49	0.19	-0.29
YPL056C	-0.54	-0.51	-0.34	-0.47	-0.51	0.16	-0.51
YPR015C	-0.34	-0.42	-0.27	-0.42	-0.51	0.2	-0.32
YCR100C	-0.62	-0.47	-0.29	-0.69	-0.84	0.36	-0.56
YOL009C	-0.49	-0.3	-0.32	-0.34	-0.43	0.25	-0.32
YLR119W	-0.3	-0.2	-0.2	-0.22	-0.27	0.14	-0.29
YMR294W	-0.34	-0.3	-0.29	-0.42	-0.4	0.24	-0.38
YDR374C	-0.58	-0.56	-0.43	-0.51	-0.64	0.5	-0.51
YJR089W	-0.1	-0.14	-0.15	-0.34	-0.62	0.14	-0.27
YNL309W	-0.2	-0.22	-0.23	-0.25	-0.79	0.19	-0.36
YNR010W	-0.22	-0.43	-0.42	-0.49	-0.62	0.11	-0.51
YJL182C	-0.34		-0.58	-0.62	-0.71	0.14	-0.54
YNR018W	-0.34	-0.22	-0.38	-0.51	-0.6	0.15	-0.43
YBR165W	-0.27	-0.18	-0.3	-0.42	-0.6	0.12	-0.25
YHR058C	-0.23	-0.27	-0.27	-0.4	-0.49	0.01	-0.23
YDL090C	-0.14	-0.32	-0.18	-0.32	-0.49	0.03	-0.27
YMR069W	-0.42	-0.54	-0.23	-0.64	-0.79	0.07	-0.56
YGR109C	-0.34	-0.43	-0.22	-0.47	-0.74	0.16	-0.49
YOR126C	-0.34	-0.36	-0.18	-0.49	-0.69	0.11	-0.36
YHR095W	-0.34	-0.38	-0.18	-0.51	-0.71	-0.04	-0.6
YPL278C	-0.04	-0.1	-0.07	-0.17	-0.27	-0.01	-0.18
YJR033C	-0.04	-0.07	-0.04	-0.12	-0.2	0.01	-0.1
YMR288W	-0.06	-0.2	-0.1	-0.42	-0.54	0.15	-0.3
YIL059C	-0.15	-0.32	-0.1	-0.51	-0.6	0.11	
YNL326C	-0.03	-0.22	-0.04	-0.32	-0.4	0.08	-0.32
YDL160C	-0.17	-0.23	0.07	-0.49	-0.6	0.07	-0.3
YFL050C	-0.23	-0.4	-0.18	-0.67	-0.76	-0.07	-0.4
YJR116W	-0.27	-0.4	-0.09	-0.64	-0.6	-0.04	
YER128W	-0.3	-0.43	-0.12	-0.49	-0.38	-0.03	-0.22
YCR050C	-0.38	-0.45	-0.15	-0.62	-0.56	-0.1	-0.4
YKL055C	-0.36	-0.27	-0.09	-0.58	-0.47	0.03	-0.27
YGL218W	-0.18	-0.22	-0.04	-0.36	-0.22	0.06	-0.15
YNL136W	-0.27	-0.43	-0.12	-0.38	-0.42	0.12	-0.18
YJL156C	-0.18	-0.43	-0.04	-0.36	-0.34	0.11	-0.1
YBR182C	-0.36	-0.49	0.03	-0.56	-0.43	0.12	-0.2
YKL102C	-0.22	-0.25	0.03	-0.43	-0.3	0.07	-0.04
YKL220C	-0.36	-0.36	-0.06	-0.51	-0.43	0.01	-0.1
YCL023C	-0.36	-0.36	-0.06	-0.4	-0.42	0.07	-0.03
YJL007C	-0.62	-0.38	-0.23	-0.58	-0.84	-0.06	-0.23
YDR260C	-0.27	-0.18	-0.1	-0.22	-0.47	-0.06	
YAL020C	-0.31	-0.15	0	-0.31	-0.46	-0.09	-0.2
YGL089C	-0.3	-0.07	0	-0.36	-0.49	0	-0.18
YLR184W	-0.49	-0.1	-0.34	-0.62	-0.94	-0.04	-0.4
YIL174W	-0.3	-0.27	-0.23	-0.71	-0.74	0.4	-0.27
YMR082C	-0.49	-0.25	-0.17	-0.43	-0.36	-0.06	-0.2
YJR018W	-0.42	-0.34	-0.18	-0.4	-0.3	-0.03	-0.17
YPR038W	-0.43	-0.38	-0.18	-0.4	-0.3	-0.07	-0.27
YLR416C	-0.71	-0.76	-0.56	-0.49	-0.54	0.11	-0.47
YCR049C	-0.51	-0.36	-0.34	-0.36	-0.29	0.04	-0.17
YPL250C	-0.36	-0.36	-0.47	-0.36	-0.34	-0.1	-0.23
YCR047C	-0.62	-0.58	-0.56	-0.64	-0.2	-0.15	-0.34
YFL032W	-0.4	-0.45	-0.23	-0.4	-0.12	0.03	-0.42
YKL031W	-0.36	-0.45	-0.2	-0.3	-0.27	0.04	-0.34
YJR138W	-0.56	-0.89	-0.36	-0.54	-0.36	-0.09	-0.54
YKR037C	-0.27	-0.51	-0.27	-0.34	-0.2	0.06	
YOR379C	-0.25	-0.4	-0.2	-0.4	-0.18	0.06	-0.27
YLR148W	-0.14	-0.25	-0.06	-0.01	-0.18	0.04	-0.15
YJL126W	-0.4	-0.67	-0.1	-0.18	-0.47	0.14	-0.54
YDL044C	-0.27	-0.42	-0.03	-0.2	-0.4	0.04	-0.34
YGL210W	-0.27	-0.54	-0.14	-0.27	-0.64	0.08	-0.56
YBR148W	-0.18	-0.34	-0.15	-0.1	-0.4	-0.03	-0.36
YLR010C	-0.36	-0.49	-0.15	-0.34	-0.34	-0.1	-0.56
YJL127C	-0.34	-0.49	-0.06	-0.29	-0.23	-0.18	-0.45
YGR099W	-0.23	-0.36	0.01	-0.12	-0.22	-0.06	-0.4
YJR055W	-0.23	-0.42	0.07	-0.3	-0.4	-0.1	-0.42
YGR203W	-0.22	-0.3	0.01	-0.27	-0.27	-0.07	-0.36
YJL011C	-0.43	-0.42	0.07	-0.45	-0.43	-0.04	
YGR064W	-0.18	-0.18	0.06	-0.23	-0.23	0.03	-0.49
YCR024C-A	-0.04	-0.25	-0.04	-0.15	-0.2	-0.1	-0.23
YJL150W	-0.27	-0.92	-0.36	-0.62	-0.32	-0.23	-0.84
YJL110C	-0.03	-0.49	-0.2	-0.27	-0.34	-0.36	-0.74
YAR008W	-0.25	-0.74	-0.51	-0.67	-0.64	-0.6	-1.12
YMR059W	-0.27	-0.36	-0.34	-0.4	-0.38	-0.23	-0.64
YJL146W	-0.36	-0.71	-0.43	-0.42	-0.49	-0.17	-0.84
YIL049W	-0.27	-0.64	-0.36	-0.42	-0.47	-0.29	-0.79
YNR022C	-0.42	-0.64	-0.36	-0.47	-0.51	-0.29	-0.97
YIL037C	-0.36	-0.56	-0.23	-0.34	-0.34	-0.27	-0.62
YLL053C	-0.23	-0.54	-0.2	-0.23	-0.36	-0.25	-0.56
YMR057C	-0.47	-0.62	-0.42	-0.58	-0.54	-0.56	-0.97
YDL069C	-0.49	-0.56	-0.34	-0.43	-0.36	-0.54	-1.03
YNL029C	-0.42	-0.56	-0.4	-0.32	-0.38	-0.58	-0.86
YJR053W	-0.34	-0.79	-0.49	-0.49	-0.4	-0.56	-0.92
YLR322W	-0.18	-0.45	-0.3	-0.36	-0.27	-0.25	-0.81
YJL120W	-0.3	-0.42	-0.25	-0.23	-0.27	-0.23	-0.71
YML005W	-0.34	-0.51	-0.51	-0.32	-0.34	-0.3	-0.84
YPR095C	-0.2	-0.43	-0.45	-0.27	-0.36	-0.3	-0.81
YOL033W	-0.27	-0.47	-0.27	-0.27	-0.14	-0.25	-0.89
YNL243W	-0.38	-0.36	-0.23	-0.12	-0.23	-0.34	-0.92
YOR334W	-0.34	-0.51	-0.4	-0.15	-0.34	-0.18	-0.58
YNR066C	-0.23	-0.3	-0.3	-0.1	-0.36	-0.18	-0.34
YBR124W	-0.18	-0.34	-0.34	-0.27	-0.6	0.01	-0.62
YPL252C	-0.23	-0.34	-0.4	-0.2	-0.64	-0.03	-0.76
YOR072W	-0.12	-0.17	-0.17	-0.14	-0.32	-0.1	-0.36
YMR075W	-0.18	-0.49	-0.36	-0.36	-0.64	-0.18	-0.86
YNR028W	-0.14	-0.32	-0.43	-0.3	-0.47	-0.14	-0.71
YLR337C	-0.04	-0.34	-0.49	-0.36	-0.56	-0.25	-0.86
YPL259C	-0.04	-0.18	-0.23	-0.23	-0.32	-0.12	-0.43
YLR442C	-0.18	-0.27	-0.29	-0.36	-0.49	-0.06	-0.71
YPR179C	-0.03	-0.12	-0.17	-0.22	-0.29	0	-0.4
YMR073C	-0.22	-0.36	-0.43	-0.43	-0.42	-0.06	-0.76
YJL006C	-0.1	-0.32	-0.4	-0.42	-0.3	-0.04	-0.69
YNL311C	-0.14	-0.36	-0.42	-0.56	-0.42	-0.22	-1
YDL165W	-0.14	-0.23	-0.2	-0.3	-0.22	-0.07	-0.56
YAL014C	-0.1	-0.4	-0.23	-0.45	-0.38	-0.07	-0.79
YNL147W	-0.23	-0.38	-0.09	-0.25	-0.36	0.06	-0.58
YDR540C	-0.32	-0.42	-0.14	-0.25	-0.45	0.07	-0.62
YGR107W	-0.32	-0.34	-0.12	-0.23	-0.25	-0.01	-0.64
YLL037W	-0.18	-0.12	-0.1	-0.22	-0.22	0.03	-0.58
YNR032W	-0.3	-0.3	-0.23	-0.45	-0.4	0.19	-0.97
YPL232W	-0.2	-0.27	-0.25	-0.36	-0.38	0.06	-0.71
YIR015W	-0.23	-0.36	-0.27	-0.3	-0.42	0.06	-0.79
YNL167C	-0.2	-0.42	-0.23	-0.23	-0.29	0.14	-0.71
YLR036C	-0.06	-0.29	-0.27	-0.3	-0.25	0.14	-0.64
YGR051C	-0.06	-0.23	-0.1	-0.17	-0.29	0.11	-0.56
YKR031C	0	-0.22	-0.12	-0.1	-0.23	0.01	-0.4
YOL102C	-0.17	-0.36	-0.25	-0.18	-0.22	-0.01	-0.6
YOL160W	-0.36	-0.51	-0.42	-0.27	-0.34	0.06	-0.74
YIR007W	-0.3	-0.56	-0.43	-0.27	-0.4	-0.06	-0.67
YGL072C	-0.27	-0.47	-0.23	-0.54	-0.3	-0.15	-0.56
YBL053W	-0.29	-0.42	-0.25	-0.56	-0.36	0.01	-0.62
YOL027C	-0.22	-0.43	-0.32	-0.47	-0.43	0.03	-0.58
YLL013C	-0.29	-0.18	-0.34	-0.49		0.03	-0.51
YDR114C	-0.34	-0.29	-0.32	-0.4	-0.4	0.04	-0.51
YCL022C	-0.36	-0.23	-0.18	-0.54	-0.42	-0.06	-0.64
YNL205C	-0.3	-0.3	-0.12	-0.64	-0.51	0.07	-0.69
YOR094W	-0.04	-0.36	-0.1	-0.54	-0.56	-0.27	-0.54
YAL024C	-0.2	-0.47	-0.14	-0.27	-0.51	-0.27	-0.69
YGL260W	-0.27	-0.58	-0.1	-0.42	-0.69	-0.3	-0.67
YHR130C	-0.18	-0.3	-0.09	-0.29	-0.4	-0.23	-0.36
YGR015C	-0.14	-0.3	-0.1	-0.32	-0.56	-0.23	-0.56
YNL063W	-0.2	-0.42	-0.27	-0.58	-0.76	-0.2	-0.92
YLR458W	-0.2	-0.34	-0.07	-0.4	-0.36	-0.1	-0.56
YGL079W	-0.15	-0.18	0	-0.36	-0.3	-0.1	-0.43
YLL057C	-0.22	-0.29	-0.04	-0.47	-0.47	-0.22	-0.6
YML108W	-0.32	-0.42	-0.12	-0.49	-0.62	-0.32	-0.71
YIL082W	-0.2	-0.29	-0.1	-0.34	-0.38	-0.17	
YNR064C	-0.27	-0.38	-0.18	-0.49	-0.6	-0.23	
YOR372C	-0.27	-0.27	-0.1	-0.49	-0.43	-0.14	-0.45
YPL102C	-0.36	-0.3	-0.32	-0.4	-0.67	-0.23	-0.49
YDL207W	-0.3	-0.25	-0.2	-0.34	-0.51	-0.32	-0.58
YOR318C	-0.27	-0.34	-0.23	-0.3	-0.42	-0.3	-0.56
YHR093W	-0.43	-0.56	-0.38	-0.51	-0.69	-0.4	-0.74
YDL217C	-0.14	-0.23	-0.1	-0.27	-0.22	-0.2	-0.3
YJR023C	-0.27	-0.34	-0.1	-0.3		-0.25	-0.34
YPL016W	-0.38	-0.34	-0.18	-0.43	-0.42	-0.43	-0.47
YPR013C	-0.25	-0.27	-0.27	-0.51	-0.49	-0.27	-0.62
YMR161W	-0.18	-0.3	-0.42	-0.56	-0.76	-0.34	-0.76
YDL162C	-0.2	-0.17	-0.25	-0.34	-0.49	-0.3	
YIL135C	-0.25	-0.42	-0.92	-0.74	-0.69	-0.14	-0.69
YPR123C	-0.14	-0.42	-0.58	-0.54	-0.6	-0.27	-0.51
YDR208W	-0.18	-0.56	-0.67	-0.84	-0.6	-0.27	-0.84
YOL035C	-0.27	-0.36	-0.4	-0.51	-0.34	-0.07	-0.47
YMR036C	-0.25	-0.4	-0.47	-0.49	-0.42	-0.03	-0.32
YMR219W	-0.4	-0.67	-0.47	-0.64	-0.74	-0.14	-0.67
YIR019C	-0.36	-0.6	-0.42	-0.4	-0.47	-0.18	-0.58
YKL061W	-0.49	-1.15	-1.15	-1	-1.03	-0.43	-1.32
YHR105W	-0.38	-0.6	-0.6	-0.42	-0.54	-0.38	-0.47
YLR269C	-0.3	-0.54	-0.43	-0.58	-0.56	-0.34	-0.42
YGR164W	-0.36	-0.56	-0.51	-0.51	-0.58	-0.27	-0.42
YLR067C	-0.3	-0.3	-0.25	-0.34	-0.32	-0.18	-0.27
YNR048W	-0.34	-0.62	-0.69	-0.79	-0.84	-0.74	-0.86
YIL080W	-0.18	-0.32	-0.49	-0.42	-0.47	-0.42	-0.47
YOL063C	-0.27	-0.23	-0.67	-0.67	-0.6	-0.58	-0.62
YIL083C	-0.14	-0.18	-0.36	-0.6	-0.58	-0.43	-0.45
YCR081W	0	-0.18	-0.22	-0.36	-0.27	-0.22	-0.23
YJR090C	-0.23	-0.49	-0.49	-0.6	-0.64	-0.45	-0.38
YIL031W	-0.3	-0.64	-0.54	-0.86	-1.06	-0.51	-0.74
YPR032W	-0.17	-0.29	-0.34	-0.58	-0.54	-0.34	-0.38
YLR402W	-0.18	-0.23	-0.3	-0.47	-0.51	-0.2	-0.27
YLL062C	-0.15	-0.29	-0.27	-0.51	-0.47	-0.12	-0.4
YNR057C	-0.27	-0.23	-0.1	-0.27	-0.4	-0.23	-0.14
YJL028W	-0.27	-0.23	-0.18	-0.18	-0.32	-0.18	-0.18
YIL032C	-0.4	-0.51	-0.25	-0.36	-0.51	-0.29	-0.27
YFR036W	-0.23	-0.4	-0.17	-0.4	-0.36	-0.25	-0.29
YEL045C	-0.47	-0.47	-0.34	-0.67	-0.6	-0.4	-0.29
YOR282W	-0.47	-0.45	-0.34	-0.64	-0.42	-0.42	-0.38
YMR268C	-0.36	-0.42	-0.42	-0.64	-0.42	-0.54	-0.36
YOL085C	-0.47	-0.4	-0.27	-0.4	-0.36	-0.47	-0.27
YNR062C	-0.47	-0.69	-0.43	-0.49	-0.54	-0.6	-0.49
YPR182W	-0.43	-0.62	-0.4	-0.47	-0.34	-0.3	-0.4
YPL268W	-0.38	-0.47	-0.34	-0.29	-0.23	-0.15	-0.22
YIL153W	-0.67	-0.58	-0.45	-0.43	-0.43	-0.36	-0.36
YNL148C	-0.64	-0.69	-0.45	-0.62	-0.6	-0.27	-0.23
YNR063W	-0.29	-0.34	-0.27	-0.47	-0.34	-0.14	-0.22
YDL235C	-0.76	-0.69	-0.74	-0.84	-0.56	-0.62	-0.97
YLL003W	-0.47	-0.36	-0.34	-0.45	-0.15	-0.27	-0.36
YOR211C	-0.47	-0.22	-0.18	-0.34	-0.25	-0.27	-0.36
YBR013C	-0.3	-0.25	-0.01	-0.36	-0.14	-0.18	-0.43
YPR130C	-0.27	-0.47	-0.22	-0.62	-0.18	-0.34	-0.69
YOL091W	-0.56	-0.81	-0.47	-0.74	-0.14	-0.3	-0.86
YIL126W	-0.4	-0.51	-0.34	-0.42	-0.01	-0.07	-0.51
YOR183W	-0.43	-0.4	-0.34	-0.34	-0.09	-0.1	-0.51
YLR136C	-0.25	-0.23	-0.6	-0.51	-0.18	-0.43	-0.84
YBL034C	-0.22	-0.23	-0.36	-0.3	-0.1	-0.32	-0.43
YKL045W	-0.17	-0.36	-0.67	-0.38	-0.18	-0.62	-0.71
YPL144W	-0.15	-0.42	-0.43	-0.23	-0.23	-0.47	-0.62
YNL233W	-0.2	-0.4	-0.42	-0.34	-0.23	-0.67	-0.86
YNR040W	-0.23	-0.3	-0.2	-0.18	-0.18	-0.38	-0.36
YOR298W	-0.71	-0.84	-0.71	-0.3	-0.62	-1.12	-1.29
YLR162W	-0.84	-0.74	-0.56	-0.36	-0.69	-1	-1.03
YOL067C	-0.49	-0.23	-0.18	-0.34	-0.34	-0.56	-0.51
YNR020C	-0.58	-0.27	-0.29	-0.3	-0.47	-0.45	-1.06
YLR428C	-0.3	-0.09	-0.23	0	-0.12	-0.29	-0.62
YBR237W	-0.42	0.12	-0.34	-0.34	-0.64	-0.03	-0.4
YOR162C	-0.38	0.12		-0.34	-0.45	0.03	-0.36
YBR233W	-0.62	0.25	-0.36	-0.4	-0.84	0.11	-0.89
YOR214C	-0.34	0.15	-0.45	-0.3	-0.3	0.04	-0.58
YMR289W	-0.04	-0.34	-0.09	-0.07	-0.56	-0.06	-0.69
YEL044W	-0.2	-0.15	-0.17	0.12	-0.47	-0.22	-0.67
YJR057W	-0.32	-0.54	-0.18	0.08	-0.14	-0.27	-0.89
YLR154C	-0.29	-0.4	0	-0.06	-0.07	-0.15	-0.56
YDL016C	-0.42	-0.42	-0.03	-0.23	-0.23	-0.23	-0.79
YDR520C	-0.34	-0.34	0.16	-0.14	-0.32	-0.23	-0.76
YMR055C	-0.42	-0.36	0.16	-0.09	-0.2	-0.09	-0.71
YJR067C	-0.29	-0.34	0.11	-0.18	-0.17	0.03	-0.49
YJL009W	0.01	-0.17	0.14	-0.34	-0.12	0	-0.62
YOR102W	-0.23	-0.17	0.06	-0.2	-0.07	0	-0.71
YJL204C	-0.03	-0.47	-0.01	-0.4	-0.14	0	-1.03
YDR448W	-0.14	-0.36	0.12	-0.27	-0.1	0.07	-0.71
YGR113W	-0.14	-0.34	0.04	-0.23	-0.23	0.07	-0.56
YNL059C	-0.15	-0.49	-0.1	-0.34	-0.3	0.16	-1.06
YOL031C	-0.1	-0.32	-0.01	-0.1	-0.2	0.12	-0.67
YOR159C	-0.23	-0.32	-0.1	-0.2	-0.07	0.16	-0.71
YNL131W	-0.07	-0.23	0	-0.09	-0.23	0.15	-0.81
YDL092W	-0.04	-0.18	0.04	-0.15	-0.18	0.25	-0.71
YOR218C	-0.07	-0.42	0.2	-0.01	-0.27	0.03	-0.81
YPL002C	0.06	-0.29	0.06	-0.09	-0.07	-0.18	-0.67
YPR053C	0.08	-0.23	0.26	-0.15	0.06	-0.12	-0.89
YOL090W	-0.17	-0.3	0.26	-0.2	-0.04	-0.07	-0.92
YDR372C	-0.18	-0.18	0.32	-0.1	0.01	-0.06	-0.94
YDR378C	-0.12	-0.07	0.07	0.07	0.01	-0.01	-0.51
YLL014W	-0.25	-0.18	0.06	-0.2	0.12	-0.12	-0.56
YMR298W	-0.2	-0.17	-0.23	-0.25	-0.04	-0.09	-1.18
YOL133W	-0.1	-0.36	-0.18	-0.14	0.04	-0.06	-0.67
YNL041C	-0.06	-0.36	-0.18	-0.15	-0.01	-0.14	-0.67
YGL220W	-0.23	-0.32	-0.06	-0.34	-0.03	-0.22	-0.92
YGR281W	-0.1	-0.14	-0.06	-0.12	0.01	-0.09	-0.3
YIL112W	-0.1	-0.34	-0.06	-0.32	0.06	-0.29	-0.62
YLR265C	-0.07	-0.18	-0.17	-0.22	0.16	-0.06	-0.47
YNR033W	0.06	0.14	-0.17	-0.36	-0.4	0.04	-0.45
YER151C	-0.1	0.11	-0.09	-0.62	-0.58	-0.07	-0.69
YNL234W	0.01	0	-0.06	-0.71	-0.62	0.25	-0.81
YDL240W	-0.06	0.01	-0.2	-0.51	-0.47	0.19	-0.84
YCR054C	-0.19	-0.31	-0.29	-0.94	-0.94	0.09	-1.22
YPR126C	-0.4	-0.14	-0.29	-0.76	-0.4	0.19	-0.86
YBR173C	-0.15	-0.15	-0.49	-0.67	-0.42	0.24	-1
YJR065C	0.01	-0.23	-0.23	-0.51	-0.27	0.08	-0.71
YBL051C	0.07	-0.38	-0.18	-0.6	-0.45	0.12	-0.97
YOR216C	-0.01	-0.23	-0.01	-0.47	-0.49	0.15	-1.22
YLR006C	0.07	-0.15	-0.1	-0.14	-0.23	0.12	-0.62
YDR430C	0.07	-0.03	-0.18	-0.25	-0.34	0.11	-0.81
YOL062C	-0.12	0.06	-0.14	-0.18	-0.18	0.06	-0.67
YHR129C	-0.29	-0.1	0.04	-0.34	-0.42	-0.04	-1.09
YPL038W	-0.18	0.04	-0.01	-0.36	-0.34	0.08	-0.94
YER099C	-0.17	0.04	0.07	-0.29	-0.34	0.01	-0.64
YLR040C	-0.1	0.04	0.01	-0.51	-0.36	-0.09	-0.81
YIL109C	-0.1	0.07	0.04	-0.45	-0.18	-0.06	-0.71
YJR120W	-0.34	0.07	-0.23	-0.42	-0.62	-0.12	-0.58
YDL164C	-0.4	0.06	-0.03	-0.49	-0.62	-0.04	
YPL068C	-0.6	-0.1	-0.18	-0.84	-1.09	0.08	-0.89
YML037C	-0.23	-0.1	-0.07	-0.45	-0.43	0.04	-0.45
YBR104W	-0.27	-0.23	0.01	-0.67	-0.79	-0.04	-0.62
YPL236C	-0.12	-0.1	0.01	-0.25	-0.32	-0.03	-0.25
YOR188W	-0.01	-0.06	0.3	-0.36	-0.64	-0.06	-0.6
YGR039W	-0.1	-0.07	0.12	-0.23	-0.42	-0.01	-0.36
YFR002W	-0.06		0.14	-0.25	-0.62	-0.06	-0.4
YJL119C	-0.14	-0.17	0.19	-0.3	-0.67	-0.04	-0.4
YER149C	-0.36	-0.25	0.43	-0.36	-0.54	0.25	-0.64
YMR209C	-0.36	-0.09	0.25	-0.2	-0.4	0.19	-0.43
YHR040W	-0.47	-0.14	0.14	-0.36	-0.69	0.25	-0.67
YBR261C	-0.34	-0.12	0.15	-0.34	-0.49	0.11	-0.58
YER107C	-0.36	-0.17	0.2		-0.6	0.11	-0.81
YAR035W	-0.26	-0.2	0.14	-0.35	-0.34	0.07	-0.41
YDR300C	-0.36	-0.23	0.11	-0.34	-0.58	0	-0.47
YDR110W	-0.32	-0.3	0.25	-0.3	-0.54	0.11	-0.67
YHR111W	-0.23	-0.23	0.2	-0.18	-0.42	0.04	-0.49
YGL227W	-0.09	-0.18	0.11	-0.06	-0.23	0.07	-0.3
YOR148C	-0.06	-0.14	0.11	-0.1	-0.27	0.11	-0.3
YBR163W	-0.38	-0.06	0.15	-0.38	-0.79	-0.18	-1
YNL231C	-0.1	-0.04	0.16	-0.18	-0.47	-0.03	-0.64
YNL227C	-0.25	-0.25	0.25	-0.79	-0.64	-0.1	-0.89
YMR223W	-0.22	0	0.12	-0.6	-0.67	-0.09	-0.71
YGL060W	-0.25	-0.36	-0.04	-0.47	-0.81	0.15	-0.62
YNL245C	-0.17	-0.27	0.04	-0.32	-0.49	0.07	-0.49
YGR283C	-0.06	-0.4	0.03	-0.54	-0.62	-0.06	-0.6
YHL007C	0.06	-0.34	0.08	-0.47	-0.71	-0.12	-0.69
YLR004C	-0.09	-0.27	0.03	-0.58	-0.84	0	-0.81
YPL052W	-0.09	-0.18	-0.06	-0.49	-0.6	0.01	-0.58
YBL005W-B	-0.1	-0.23	0.06	-0.42	-0.76	-0.18	-0.84
YER127W	-0.2	-0.3	0.15	-0.36	-0.86	-0.12	-0.79
YOR236W	-0.3	-0.18	0.06	-0.43	-0.54	-0.09	-0.69
YDR156W	-0.45	-0.25	0.04	-0.43	-0.74	-0.07	-0.79
YBR195C	-0.3	-0.3	0.06	-0.34	-0.56	-0.03	-0.69
YBR175W	-0.22	-0.22	0.03	-0.38	-0.4	0.04	-0.69
YOR118W	-0.27	-0.25	0.08	-0.43	-0.56	0.06	-0.76
YHR115C	-0.22	-0.18	0.06	-0.4	-0.51	0.04	
YMR024W	-0.1	-0.07	-0.01	-0.15	-0.32	0.03	-0.6
YOL104C	-0.18	-0.12		-0.22	-0.45	0.04	-0.67
YLR444C	-0.04	-0.12	-0.04	-0.29	-0.38	0	-0.62
YOR144C	-0.14	-0.15	-0.04	-0.42	-0.67	0.04	-0.94
YBL009W	-0.12	-0.32	0.08	-0.58	-0.89	0	-1.18
YPL070W	-0.1		0.06	-0.3	-0.56	0.15	-0.71
YNL191W	-0.1	-0.1	-0.03	-0.29	-0.56	0.08	-0.58
YGL144C	-0.36	-0.4	-0.07	-0.42	-0.94	0.34	-1.18
YDR278C	-0.1	-0.15	-0.06	-0.23	-0.36	0.15	-0.49
YDR428C	-0.22	-0.34	-0.15	-0.45	-0.58	0.06	-0.81
YGR073C	-0.14	-0.25	-0.06	-0.18	-0.42	0	-0.51
YLR147C	-0.06	-0.2	-0.09	-0.14	-0.34	0.04	-0.36
YHR101C	0	-0.3	0.14	-0.22	-0.43	0.03	-0.49
YGL136C	-0.14	-0.1	0.3	-0.03	-0.36	-0.09	-0.62
YGL256W	-0.1	-0.3	0.48	-0.4	-0.6	-0.1	-0.79
YNR044W	-0.09	-0.17	0.38	-0.12	-0.38	-0.1	-0.36
YOR226C	-0.27	-0.14	0.21	-0.18	-0.34	-0.09	-0.38
YIL054W	-0.23	-0.23	0.21	-0.27	-0.18	-0.18	-0.32
YOR324C	-0.3	-0.36	0.36	-0.42	-0.29	0.03	-0.58
YOR104W	-0.23	-0.27	0.19	-0.23	-0.15	-0.04	-0.47
YHR164C	-0.18	-0.34	0.26	-0.36	-0.27	-0.12	-0.69
YOR330C	-0.4	-0.38	0.2	-0.51	-0.34	-0.36	-0.94
YPR087W	-0.4	-0.27	0.19	-0.54	-0.22	-0.15	-1.06
YOL066C	-0.32	0	0.38	-0.36	-0.36	-0.12	-0.79
YCL065W	-0.09	-0.07	0.21	-0.23	-0.1	-0.18	-0.34
YER010C	-0.07	-0.32	0.36	-0.27	-0.12	-0.18	-0.67
YGR181W	0.03	-0.18	0.15	-0.1	-0.25	0.01	-0.58
YOR198C	0.06	-0.1	0.25	-0.3	-0.3	0.24	-0.97
YOR046C	0.14	-0.09	0.4	-0.23	-0.45	0.4	-1.03
YDR152W	-0.01	-0.09	0.15	-0.18	-0.43	0.32	-0.6
YBL011W	-0.06	-0.09	0.12	-0.27	-0.23	0.2	-0.47
YBL061C	-0.15	-0.23	0.29	-0.34	-0.43	0.38	-0.81
YGL168W	-0.09	-0.1	0.15	-0.15	-0.23	0.07	-0.42
YGR195W	-0.14	-0.01	0.24	-0.17	-0.29	0.2	-0.69
YCL011C	-0.3	-0.2	0.34	-0.15	-0.4	0.3	-1.09
YIL114C	-0.15	-0.2	0.4	0.07	-0.4	0.14	-0.69
YER123W	-0.18	-0.18	0.14	0.07	-0.47	0.08	-0.62
YOR368W	-0.18	-0.18	0.32	-0.04	-0.74	0.29	-0.86
YJL208C	0.01	-0.12		-0.07	-0.56	0.24	-0.67
YDL176W	-0.25	-0.1	0.21	-0.1	-0.43	0.34	-0.42
YBL083C	-0.1	-0.18	0.38	-0.36	-0.32	0.2	-0.56
YCL047C	-0.17	-0.18	0.34	-0.18	-0.3	0.26	-0.36
YKL132C	-0.17	-0.18		-0.27	-0.38	0.38	-0.47
YDR302W	-0.42	-0.14	0.34	-0.15	-0.34	0.3	-0.56
YIL158W	-0.3	-0.07	0.34	-0.12	-0.17	0.21	-0.4
YMR274C	-0.43	-0.04	0.4	-0.34	-0.27	0.38	-0.92
YIL134W	-0.45	0.01	0.26	-0.23	-0.14	0.38	-0.62
YPL051W	-0.23	-0.14		-0.38	-0.1	0.32	-0.49
YGL241W	-0.09	-0.01	0.26	-0.18	-0.1	0.19	-0.32
YPR107C	-0.22	-0.04	0.14	-0.32	-0.22	0.16	-0.56
YDL008W	-0.22	0.07	0.01	-0.18	-0.27	0.24	-0.58
